One Address,0xAddress,StakedWei,StakedONE
one1427qn37jngpu78lrdaw5e0q923jjcjkcra3t84,0xAaBC09c7d29A03cf1fE36f5d4CBc0554652C4aD8,17073890297997032808631718,"17,073,890"
one18ky073zdrrmme3fs7h63wyzguuj6a3uukuc3gk,0x3D88FF444D18F7bcC530F5f5171048e725AEc79C,105424158854028982447059508,"105,424,159"
one1x8pupl36puw7cczjx6a93rfhh48rzldl0qxvk8,0x31C3c0fE3a0f1DEC605236Ba588D37Bd4E317dBF,14017666172577705492800000,"14,017,666"
one1jg5rezn9tqdgpg0awewu9khrg2y9alu3jjpc4e,0x92283c8a65581a80A1fD765dc2dAe342885EFf91,11013978000000000000000,"11,014"
one13n974xtdzxu4uu2ugz8e2ml5p8t94d8x3tep3q,0x8CcBEa996d11B95E715c408F956fF409D65aB4e6,118925060500909090000000,"118,925"
one17nfgz8rtgpl3nlws5q9tdk9y3puyqf847az6ne,0xF4d2811C6B407F19FDd0A00Ab6D8a488784024f5,6382174895271000000000000,"6,382,175"
one16f3f9y4sqtrk3eq7gnagr4ac8p25rf08u0pxxp,0xd2629292b002c768e41e44fA81d7b8385541A5E7,6382923000000000000000000,"6,382,923"
one14q6lh6l25c4p7yjlkpcsc4c23jtge6a33dt7qj,0xA835fBebEAa62A1F125Fb0710C570A8C968cEbB1,277631060512572015715000000,"277,631,061"
one1nkrwnhc9udee6400rncc06j3hhdmz6j3clj094,0x9d86e9DF05E3739D55Ef1CF187EA51BdDBB16a51,15759158119318851674760000,"15,759,158"
one14gevvn4z6vmz6htkxwp62pe77c3dwj3p2cvrv6,0xaa32C64EA2d3362D5d763383a5073eF622D74a21,3886776875139800000000000,"3,886,777"
one14l4lst4qnm9fecv38450upfjym00s4ejz9mgdc,0xafebF82EA09ECa9cE1913D68fe053226deF85732,179918882741322670957133573,"179,918,883"
one17qpwyvyf9lscsy7e7yvcrqzsgrc8f0y03jkv6v,0xF002e230892fE18813D9f11981805040f074BC8F,10000000000000000000000,"10,000"
one1upv5r5y3n5zce7a3wdj4z7pqzussqtdm35rcl5,0xe05941d0919D058cfbB173655178201721002DBB,903001475071291922414700000,"903,001,475"
one19ugus2az5a9m8tcgeq2pazcdht5kn3pe86434u,0x2f11C82ba2a74Bb3Af08c8141e8B0dBaE969c439,30122826986822000000000000,"30,122,827"
one1wrvlznh27fywscexnc2l9fxk5gjelcqdnw8pvw,0x70D9f14EEaf248E863269e15F2A4D6a2259Fe00D,73852166001067616888843317,"73,852,166"
one1968yuwqqy7ah5nt2peacsp9s7erdl6m6cfyqzt,0x2E8E4e380027bb7A4D6A0e7b8804B0f646DFeb7a,11009000000000000000000,"11,009"
one1xrlz4kjut6rpq4ghvernnjgxwcrq27kwqresgc,0x30Fe2adA5c5E86105517664739c9067606057aCE,32410222358756490004006789,"32,410,222"
one1vfglvsfuk52025r5apqlfaqky37462tsdjeemf,0x6251f6413cb514F55074e841F4f416247d5D2970,11000000000000000000000,"11,000"
one1q83ag25yvxzl753jjunw8rhvz03w2p55dneenm,0x01e3D42A846185fF52329726e38Eec13e2E50694,6023150307100500000020000,"6,023,150"
one1l0wwv67lfelxhjvu6dkm9t8j5gsxev44lm6s02,0xfBDcE66bDf4e7E6BC99Cd36db2ACf2a2206cb2B5,44031547450000000000000000,"44,031,547"
one1lnupg0ymtxn7qps45q23rq6qj8mlrqj4p07pe6,0xfcF8143c9B59a7E00615a01511834091f7f18255,10000000000000000000000,"10,000"
one1f7hfpy33pzw27jzpnt77y6ze2srckrhm52j40v,0x4fAE909231089CAF48419afdE2685954078B0eFb,5346924752674900000000000,"5,346,925"
