One Address,0xAddress,StakedWei,StakedONE
one1nef0c8kgy30delcckf87jaegdp7s7ntrknvajj,0x9e52Fc1EC8245EdCfF18b24Fe97728687D0f4D63,7656988049259188418347934,"7,656,988"
one1kyyt7j29h4uhtnuhfar5wmngntx4gterrkd8q9,0xb108BF4945Bd7975cF974f47476e689ACd542F23,25186068294503614536940060,"25,186,068"
one1kf42rl6yg2avkjsu34ch2jn8yjs64ycn4n9wdj,0xb26aa1ff4442BaCB4A1C8d71754a6724a1aA9313,184021761098544554514447127,"184,021,761"
one1aagrkq9vg49jm5xx22fvm4leg0lt48qeupexvu,0xEF503B00aC454b2DD0C65292cDd7f943FEba9C19,25032330071032302892970000,"25,032,330"
one108uwrdejhf3es7rn6h4cdjqnvnpv75pp7t5ne9,0x79f8E1B732bA63987873d5eB86C81364C2cF5021,80471199930162999996400000,"80,471,200"
one1x8fhymx4xsygy4dju9ea9vhs3vqg0u3ht0nz74,0x31D3726cD534088255B2E173d2b2f08B0087F237,310466772640699605218318700,"310,466,773"
one1d2zjm9czlfzdes97pfuzdydflw0t80kspwst0x,0x6a852d9702FA44dcc0Be0A782691A9fB9EB3Bed0,4853850632480325660700000,"4,853,851"
one18hum2avunkz3u448lftwmk7wr88qswdlfvvrdm,0x3df9b5759C9D851e56a7fa56EDdbce19CE0839bf,113902070139423210758700000,"113,902,070"
one1c4w9danpa5v9zqurnl07lkqdcwyn3yfm86anqu,0xc55c56F661eD185103839FdFeFd80DC38938913b,23459952362321671709530000,"23,459,952"
one13jewk8w7jah3r9jfahh8rlzpr5r6valascd0mn,0x8CB2EB1Dde976F119649edEE71fc411d07A677fD,89655355418429636911407880,"89,655,355"
one1hlxe68d7trza48k0n4y77antwaken3x99pgw75,0xbfCD9d1dbe58C5da9EcF9d49ef766b776d99C4C5,70590410980734880736610000,"70,590,411"
one1ldthk5zyrea6w60rptcfyzlftd8fsn9fhkeps7,0xfb577B50441E7Ba769e30AF0920bE95b4e984Ca9,56063837363992400000000000,"56,063,837"
one17495f2cxc2f5ej2h3v76jhkxjhg84v2m4azf55,0xf54b44Ab06c2934cc9578B3Da95EC695d07AB15B,81484438692435763500000000,"81,484,439"
one1r55rwumsrm6w3d20uhaa3hm4rxr442k0qx9gj8,0x1D283773701eF4E8b54Fe5fBd8DF7519875AAAcf,85132432513833194793530000,"85,132,433"
one1y5686zfh8vnygxglrhztahh7hcn2tvk33vsgrt,0x25347d09373B2644191f1DC4beDEFEBE26a5b2d1,33414549361802499145400000,"33,414,549"
one12jell2lqaesqcye4qdp9cx8tzks4pega465r3k,0x54B3FfaBe0eE600C133503425c18eb15a150E51d,22964404259760167866360766,"22,964,404"
one1leh5rmuclw5u68gw07d86kqxjd69zuny3h23c3,0xFE6F41Ef98fBa9CD1d0e7F9A7D58069374517264,90366402015448609321000000,"90,366,402"
one1dcmp24uqgwszcvmm8n6r5dvhqhuukdj86pkg6n,0x6e3615578043a02c337B3cF43A359705f9Cb3647,137931332474017715150870000,"137,931,332"
one14xkvsj8gnwl2tnu9wahfru35x8ppveaqdx5cnf,0xA9acc848e89BBEA5cf85776e91F23431C21667a0,40279096307457333333300000,"40,279,096"
one1qk7mp94ydftmq4ag8xn6y80876vc28q7s9kpp7,0x05Bdb096a46A57b057A839a7a21de7f699851C1E,99129127292860583281251116,"99,129,127"
one129gp9e7ghsyecxevp4che033dmk0sew7swvk66,0x515012e7c8BC099c1B2c0D717cbe316eecF865dE,9332860642070211897901965,"9,332,861"
one1aha9g2d6scsyktjgx7wm9jwssxjp6lrtl8959z,0xEDfa5429Ba86204b2E48379dB2C9D081A41D7C6B,121183013199533554066700000,"121,183,013"
one10zn27a4vnywuufece29d4nwl8j78cz3r5cgupg,0x78a6Af76AC991dcE2738CA8adaCddF3CbC7c0A23,10000000000000000000000,"10,000"
one1u3tlxeq9sl6qkmr8xd02zqa73lkrwkkujjl6d9,0xe457F3640587F40B6C67335EA103bE8fEC375Adc,40085262488795727716900000,"40,085,262"
one1r3kwetfy3ekfah75qaedwlc72npqm2gkayn6ue,0x1C6CEcAD248E6c9edfd40772D77f1e54C20dA916,18596063554193833679470000,"18,596,064"
one1rdmpel0fam355u3xdda2w037x6dq8n7xsj0e3v,0x1b761CFdE9eEe34a72266b7AA73e3E369a03cfC6,4737046373247603457800000,"4,737,046"
one1cv534gglmnumvdf35xhkvmt6mql60p2twy7p4w,0xC3291AA11fDcF9B63531a1Af666d7Ad83fa7854B,17744590651058760000000000,"17,744,591"
one1zdz826ruk0rfp78vg3dw98epwn33ky3cu9udmm,0x134475687cB3c690F8eC445AE29f2174E31b1238,4930529159055400000000000,"4,930,529"
one1sqy7dgkrrmc4tacrzyts37vf8gvmtesqstg8ff,0x8009e6a2C31Ef155F703111708f9893a19b5E600,161763084379400000010000,"161,763"
one1xv62dz2gmshaqac4gn87qkh44g80mcpquvn2tk,0x3334A68948dc2fD0771544cfe05AF5Aa0Efde020,40710186073662400000000000,"40,710,186"
one16knqzazp2kxra3zx4sw32capqt3esg55wjg7ff,0xD5a6017441558c3ec446Ac1D1563A102E3982294,27122642998540742873700000,"27,122,643"
one19zt89ps0mgeuvkslkduplt8hysk93c73svft67,0x289672860FDa33c65A1Fb3781facf7242c58E3D1,10001000000000000000000,"10,001"
one10j0tswg6x4udqafvsetjj3fl0g4e52spwp0wsh,0x7C9Eb8391a3578d0752c865729453f7A2B9a2A01,5259128947749488494000000,"5,259,129"
one1ksqcladc3r5s90v494h9tfwdhkx88tq6j549f6,0xB4018FF5B888e902bD952D6e55A5cDbd8C73Ac1A,75564448887057300757000000,"75,564,449"
one1v63cck8d08708mlgz8rmrku4l9jgvtmfn8a6wh,0x66a38C58Ed79fCF3eFe811C7B1db95f964862f69,40141162193359799999700000,"40,141,162"
one1ctwewx0pmg8k0tc8vnx4guyq9jm7dwz5k98tlm,0xc2DD9719E1dA0f67AF0764cD5470802cb7e6B854,268524100030365442553900000,"268,524,100"
one13jhphrfzf2qhexqgaqufu76hg6ag934fn4rhhj,0x8caE1B8D224a817C9808e8389e7B5746Ba82c6a9,6453902671450200025990000,"6,453,903"
one1427qn37jngpu78lrdaw5e0q923jjcjkcra3t84,0xAaBC09c7d29A03cf1fE36f5d4CBc0554652C4aD8,17311661559774132808631718,"17,311,662"
one18ky073zdrrmme3fs7h63wyzguuj6a3uukuc3gk,0x3D88FF444D18F7bcC530F5f5171048e725AEc79C,108466834854028982447059508,"108,466,835"
one1x8pupl36puw7cczjx6a93rfhh48rzldl0qxvk8,0x31C3c0fE3a0f1DEC605236Ba588D37Bd4E317dBF,14459903864071205472800000,"14,459,904"
one1jg5rezn9tqdgpg0awewu9khrg2y9alu3jjpc4e,0x92283c8a65581a80A1fD765dc2dAe342885EFf91,11013978000000000000000,"11,014"
one13n974xtdzxu4uu2ugz8e2ml5p8t94d8x3tep3q,0x8CcBEa996d11B95E715c408F956fF409D65aB4e6,118925060500909090000000,"118,925"
one17nfgz8rtgpl3nlws5q9tdk9y3puyqf847az6ne,0xF4d2811C6B407F19FDd0A00Ab6D8a488784024f5,6382174895271000000000000,"6,382,175"
one16f3f9y4sqtrk3eq7gnagr4ac8p25rf08u0pxxp,0xd2629292b002c768e41e44fA81d7b8385541A5E7,6382923000000000000000000,"6,382,923"
one14q6lh6l25c4p7yjlkpcsc4c23jtge6a33dt7qj,0xA835fBebEAa62A1F125Fb0710C570A8C968cEbB1,277452027666692615715000000,"277,452,028"
one1nkrwnhc9udee6400rncc06j3hhdmz6j3clj094,0x9d86e9DF05E3739D55Ef1CF187EA51BdDBB16a51,15924453525650351674760000,"15,924,454"
one14gevvn4z6vmz6htkxwp62pe77c3dwj3p2cvrv6,0xaa32C64EA2d3362D5d763383a5073eF622D74a21,3889676875139800000000000,"3,889,677"
